6-digit activity code,6-digit activity code_text,Activity,AinsworthCode (Best guess),AinsworthMETS,AinsworthMajorHeading,AinsworthSpecific,Travel-related (Y/N),Notes
20104,t20104,"Storing interior hh items, inc. food",5055,2.5,Home Activity ,"putting away groceries (e.g. carrying groceries, shopping without a grocery cart), carrying packages",N,Seemed to be the only option that included putting things away or storing them 
20199,t20199,"Housework, n.e.c.* ",5026,3.5,Home Activity ,"multiple household tasks all at once, moderate effort",N,Most general option available 
20201,t20201,Food and drink preparation ,5049,3.5,Home Activity ,"cooking or food preparation, moderate effort",N,Chose moderate effort over light effort because the examples seemed to require more than light effort for the most part
20202,t20202,Food presentation,5051,2.5,Home Activity ,"serving food, setting table, implied walking or standing",N,The only option that discussed serving food
20203,t20203,Kitchen and food clean-up,5042,2.5,Home Activity ,"wash dishes, clearing dishes from table, walking, light effort",N,"Chose because it included washing dishes and clearing dishes, which are both included in kitchen cleanup "
20299,t20299,"Food & drink prep, presentation, & clean-up, n.e.c.* ",5049,3.5,Home Activity ,"cooking or food preparation, moderate effort",N,Most general option available 
20301,t20301,"Interior arrangement, decoration, & repairs",6127,4.5,Home Repair ,"home repair, general, moderate effortæ",N,Chose moderate effort over light or vigorous effort to get an average of the two
20302,t20302,Building and repairing furniture,6060,3.3,Home Repair ,"carpentry, finishing or refinishing cabinets or furniture",N,the only option that included repair/building furnitute 
20303,t20303,Heating and cooling,5149,2.5,Home Activity ,building a fire inside,N,the only option that discussed any kind of heating or cooling component 
20399,t20399,"Interior maintenance, repair, & decoration, n.e.c.* ",6127,4.5,Home Repair,"home repair, general, moderate effortæ",N,Most general option associated with home repair of any kind 
20401,t20401,Exterior cleaning,6100,5,Home Repair,cleaning gutters,N,The only option that included anything about cleaning an exterior 
20402,t20402,"Exterior repair, improvements, & decoration",6050,6,Home Repair,"carpentry, outside house, installing rain gutters (Taylor Code 640),carpentry, outside house, building a fence",N,The most general option for outside the home repair work 
20499,t20499,"Exterior maintenance, repair & decoration, n.e.c.*",6050,6,Home Repair,"carpentry, outside house, installing rain gutters (Taylor Code 640),carpentry, outside house, building a fence",N,The most general option for outside the home repair work 
20501,t20501,"Lawn, garden, and houseplant care",8261,4,Lawn and Garden,"yard work, general, moderate effort",N,Chose moderate effort over light or vigorous effort to get an average of the two
20502,t20502,"Ponds, pools, and hot tubs",,,,,,"None seemed to fit this category, no mention of pools, hot tubs, or ponds in the Ainsworth data"
20599,t20599,"Lawn and garden, n.e.c.* ",8261,4,Lawn and Garden,"yard work, general, moderate effort",N,Most general option 
20601,t20601,Care for animals and pets (not veterinary care),5053,2.5,Home Activity ,feeding household animals,N,Only option related to care of household animals
20602,t20602,Walking / exercising / playing with animals,5193,4,Home Activity ,"walk/run, playing with animals, moderate effort, only active periods",N,Chose moderate effort over light or vigorous effort to get an average of the two
20699,t20699,"Pet and animal care, n.e.c.*",5053,2.5,Home Activity ,feeding household animals,N,Only general option available for animal care 
20701,t20701,Vehicle repair and maintenance (by self),6030,3.3,Home Repair,"automobile repair, light or moderate effort",N,
20799,t20799,"Vehicles, n.e.c.*",6030,3.3,Home Repair,"automobile repair, light or moderate effort",N,
20801,t20801,"Appliance, tool, and toy set-up, repair, & maintenance (by self)",6144,3,Home Repair,repairing appliancesæ,N,The closest Ainsworth gets to any kind of repair or installation of electronics or the like 
20899,t20899,"Appliances and tools, n.e.c.*",6144,3,Home Repair,repairing appliancesæ,N,The closest Ainsworth gets to any kind of repair or installation of electronics or the like 
20901,t20901,Financial management,9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,"Typically pay bills at a computer (typing), occasionally write checks (writing) "
20902,t20902,Household & personal organization and planning,9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,"Typically this could all be done at a computer; making lists, organize weekly plans "
20903,t20903,HH & personal mail & messages (except e-mail),11529,2.3,Occupation,"postal carrier, walking to deliver mail",N,"Probably overestimates the energy expended, but the closest thing I could get to activities related to mail "
20904,t20904,HH & personal e-mail and messages,9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,"This would all be done at a computer, sitting at a desk"
20905,t20905,Home security,5165,3.5,Home Activity ,"walking,æmoderate effort tasks, non-cleaning (readying to leave, shut/lock doors, close windows, etc.)",N,Readying to leave seemed to be the closest match to home security measures 
20999,t20999,"Household management, n.e.c.*",5026,3.5,Home Activity,"multiple household tasks all at once, moderate effort",N,this was the most general classification for household management 
29999,t29999,"Household activities, n.e.c.*",,,,,,
30101,t30101,Physical care for hh children,5186,3,Home Activity,"child care, standing (e.g., dressing, bathing, grooming, feeding, occasional lifting of child), moderate effort",N,"Chose standing instead of kneeling, as that seems to be the more common practice "
30102,t30102,Reading to/with hh children,7070,1.3,Inactivity,"reclining, reading",N,The only reading options were those done alone; likely reclining when reading with a child 
30103,t30103,"Playing with hh children, not sports",15135,5.8,Sports,"childrenÍs games, adults playing (e.g., hopscotch, 4-square, dodge ball, playground apparatus, t-ball, tetherball, marbles, jacks, arcade games), moderate effort",N,"Not sure if these qualify as sports, but it seemed the closest to playing with children without playing sports"
30104,t30104,Arts and crafts with hh children,9080,3,Miscellaneous ,"sitting, arts and crafts,æ carving wood, weaving, spinning wool, moderate effort",N,"Likely sitting to do crafts with a child, not standing "
30105,t30105,Playing sports with hh children,21018,3.5,Volunteer Activities ,"walk/run play with children, moderate, only active periods",N,Moderate activity seemed more accurate than vigorous since an adult would be playing with a child 
30106,t30106,Talking with/listening to hh children,9055,1.5,Miscellaneous ,"sitting, talking in person, on the phone, computer, or text messaging, light effort",N,Only talking in person would be more accurate
30108,t30108,Organization & planning for hh children,9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,Most planning done at a desk/computer
30109,t30109,Looking after hh children (as a primary activity),21017,3,Volunteer Activities ,"standing, child care, only active periods",N,Standing over sitting since caring for a child is typically more active
30110,t30110,Attending hh children's events,20000,1.3,Religious Activity,"sitting in church, in service, attending a ceremony, sitting quietly",N,"Wouldn't be sitting in church necessarily, but similar sitting and watching "
30111,t30111,Waiting for/with hh children,7021,1.3,Inactivity ,"sitting quietly, general",N,Likely sitting and waiting in a car 
30112,t30112,Picking up/dropping off hh children,7021,1.3,Inactivity ,"sitting quietly, general",N,Likely sitting and waiting in a car 
30199,t30199,"Caring for & helping hh children, n.e.c.*",5186,3,Home Activity,"child care, standing (e.g., dressing, bathing, grooming, feeding, occasional lifting of child), moderate effort",N,This would be the eventual result of adopting a child 
30201,t30201,Homework (hh children),9060,1.3,Miscellaneous ,"sitting, studying, general, including reading and/or writing, light effort",N,Studying is the closest I could get to helping a child with homework 
30202,t30202,Meetings and school conferences (hh children),20000,1.3,Religious Activity,"sitting in church, in service, attending a ceremony, sitting quietly",N,"Wouldn't be sitting in church necessarily, but similar sitting and watching "
30203,t30203,Home schooling of hh children,9060,1.3,Miscellaneous ,"sitting, studying, general, including reading and/or writing, light effort",N,Studying is the closest I could get to teaching a child 
30204,t30204,Waiting associated with hh children's education,7021,1.3,Inactivity ,"sitting quietly, general",N,Likely sitting to wait for teacher
30299,t30299,"Activities related to hh child's education, n.e.c.*",9060,1.3,Miscellaneous ,"sitting, studying, general, including reading and/or writing, light effort",N,Studying is the closest I could get to teaching a child 
30301,t30301,Providing medical care to hh children,5186,3,Home Activity,"child care, standing (e.g., dressing, bathing, grooming, feeding, occasional lifting of child), moderate effort",N,Seems to fall in the general category of caring for children
30302,t30302,Obtaining medical care for hh children,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Standing and speaking with doctor 
30303,t30303,Waiting associated with hh children's health,7021,1.3,Inactivity ,"sitting quietly, general",N,
30399,t30399,"Activities related to hh child's health, n.e.c.*",7021,1.3,Inactivity ,"sitting quietly, general",N,
30401,t30401,Physical care for hh adults,5200,4,Home Activity,"elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periodsæ",N,
30402,t30402,Looking after hh adult (as a primary activity),21015,2.3,Volunteer Activities ,"standing, light work (filing, talking, assembling)",N,Likely light work involved in watching an adult 
30403,t30403,Providing medical care to hh adult,13036,1.5,Self Care,"taking medication, sitting or standing",N,Similar to administering medication to self 
30404,t30404,Obtaining medical and care services for hh adult,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Standing and speaking with doctor 
30405,t30405,Waiting associated with caring for household adults,7021,1.3,Inactivity ,"sitting quietly, general",N,
30499,t30499,"Caring for household adults, n.e.c.* ",5200,4,Home Activity,"elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periodsæ",N,
30501,t30501,Helping hh adults,9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,Most helping tasks could be done t a computer or while sitting; some activitites would require more effort 
30502,t30502,Organization & planning for hh adults,9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,Most planning done at a desk/computer
30503,t30503,Picking up/dropping off hh adult,7021,1.3,Inactivity ,"sitting quietly, general",N,
30504,t30504,Waiting associated with helping hh adults,7021,1.3,Inactivity ,"sitting quietly, general",N,
30599,t30599,"Helping household adults, n.e.c.*",7021,1.3,Inactivity ,"sitting quietly, general",N,Waiting likely includes sitting 
39999,t39999,"Caring for & helping hh members, n.e.c.*",5200,4,Home Activity,"elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periodsæ",N,
40101,t40101,Physical care for nonhh children,5186,3,Home Activity,"child care, standing (e.g., dressing, bathing, grooming, feeding, occasional lifting of child), moderate effort",N,"Chose standing instead of kneeling, as that seems to be the more common practice "
40102,t40102,Reading to/with nonhh children,7070,1.3,Inactivity,"reclining, reading",N,The only reading options were those done alone; likely reclining when reading with a child 
40103,t40103,"Playing with nonhh children, not sports",15135,5.8,Sports,"childrenÍs games, adults playing (e.g., hopscotch, 4-square, dodge ball, playground apparatus, t-ball, tetherball, marbles, jacks, arcade games), moderate effort",N,"Not sure if these qualify as sports, but it seemed the closest to playing with children without playing sports"
40104,t40104,Arts and crafts with nonhh children,9080,3,Miscellaneous ,"sitting, arts and crafts,æ carving wood, weaving, spinning wool, moderate effort",N,"Likely sitting to do crafts with a child, not standing "
40105,t40105,Playing sports with nonhh children,21018,3.5,Volunteer Activities ,"walk/run play with children, moderate, only active periods",N,Moderate activity seemed more accurate than vigorous since an adult would be playing with a child 
40106,t40106,Talking with/listening to nonhh children,9055,1.5,Miscellaneous ,"sitting, talking in person, on the phone, computer, or text messaging, light effort",N,Only talking in person would be more accurate
40108,t40108,Organization & planning for nonhh children,9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,Most planning done at a desk/computer
40109,t40109,Looking after nonhh children (as primary activity),21017,3,Volunteer Activities ,"standing, child care, only active periods",N,Standing over sitting since caring for a child is typically more active
40110,t40110,Attending nonhh children's events,20000,1.3,Religious Activity,"sitting in church, in service, attending a ceremony, sitting quietly",N,"Wouldn't be sitting in church necessarily, but similar sitting and watching "
40111,t40111,Waiting for/with nonhh children,7021,1.3,Inactivity ,"sitting quietly, general",N,Likely sitting and waiting in a car 
40112,t40112,Dropping off/picking up nonhh children,7021,1.3,Inactivity ,"sitting quietly, general",N,Likely sitting and waiting in a car 
40199,t40199,"Caring for and helping nonhh children, n.e.c.*",5186,3,Home Activity,"child care, standing (e.g., dressing, bathing, grooming, feeding, occasional lifting of child), moderate effort",N,This would be the eventual result of adopting a child 
40201,t40201,Homework (nonhh children),9060,1.3,Miscellaneous ,"sitting, studying, general, including reading and/or writing, light effort",N,Studying is the closest I could get to helping a child with homework 
40202,t40202,Meetings and school conferences (nonhh children),20000,1.3,Religious Activity,"sitting in church, in service, attending a ceremony, sitting quietly",N,"Wouldn't be sitting in church necessarily, but similar sitting and watching "
40203,t40203,Home schooling of nonhh children,9060,1.3,Miscellaneous ,"sitting, studying, general, including reading and/or writing, light effort",N,Studying is the closest I could get to teaching a child 
40204,t40204,Waiting associated with nonhh children's education,7021,1.3,Inactivity ,"sitting quietly, general",N,Likely sitting to wait for teacher
40299,t40299,"Activities related to nonhh child's educ., n.e.c.*",9060,1.3,Miscellaneous ,"sitting, studying, general, including reading and/or writing, light effort",N,Studying is the closest I could get to teaching a child 
40301,t40301,Providing medical care to nonhh children,5186,3,Home Activity,"child care, standing (e.g., dressing, bathing, grooming, feeding, occasional lifting of child), moderate effort",N,Seems to fall in the general category of caring for children
40302,t40302,Obtaining medical care for nonhh children,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Standing and speaking with doctor 
40303,t40303,Waiting associated with nonhh children's health,7021,1.3,Inactivity ,"sitting quietly, general",N,
40399,t40399,"Activities related to nonhh child's health, n.e.c.*",7021,1.3,Inactivity ,"sitting quietly, general",N,
40401,t40401,Physical care for nonhh adults,5200,4,Home Activity,"elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periodsæ",N,
40402,t40402,Looking after nonhh adult (as a primary activity),21015,2.3,Volunteer Activities ,"standing, light work (filing, talking, assembling)",N,Likely light work involved in watching an adult 
40403,t40403,Providing medical care to nonhh adult,13036,1.5,Self Care,"taking medication, sitting or standing",N,Similar to administering medication to self 
40404,t40404,Obtaining medical and care services for nonhh adult,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Standing and speaking with doctor 
40405,t40405,Waiting associated with caring for nonhh adults,7021,1.3,Inactivity ,"sitting quietly, general",N,
40499,t40499,"Caring for nonhh adults, n.e.c.*",5200,4,Home Activity,"elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periodsæ",N,
40501,t40501,"Housework, cooking, & shopping assistance for nonhh adults",5026,3.5,Home Activity,"multiple household tasks all at once, moderate effort",N,
40502,t40502,House & lawn maintenance & repair assistance for nonhh adults,8261,4,Lawn and Garden,"yard work, general, moderate effort",N,Most general option available for lawn/outdoor housework 
40503,t40503,Animal & pet care assistance for nonhh adults,5197,2.3,Home Activity,"animal care, household animals, generalæ",N,Most general pet care option
40504,t40504,Vehicle & appliance maintenance/repair assistance for nonhh adults,6144,3,Home Repair,repairing appliancesæ,N,"Doesn't include all repair, but is the most general "
40505,t40505,Financial management assistance for nonhh adults,9040,1.3,Inactivity ,"sitting, writing, desk work, typing",N,All activities likely done sitting and/or at a computer
40506,t40506,Household management & paperwork assistance for nonhh adults,9040,1.3,Inactivity ,"sitting, writing, desk work, typing",N,All activities likely done sitting and/or at a computer
40507,t40507,Picking up/dropping off nonhh adult,7021,1.3,Inactivity ,"sitting quietly, general",N,
40508,t40508,Waiting associated with helping nonhh adults,7021,1.3,Inactivity ,"sitting quietly, general",N,
40599,t40599,"Helping nonhh adults, n.e.c.*",5200,4,Home Activity,"elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periodsæ",N,
49999,t49999,"Caring for & helping nonhh members, n.e.c.*",5200,4,Home Activity,"elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periodsæ",N,
50101,t50101,"Work, main job",11580,1.5,Occupation,"sitting tasks, light effort (e.g., office work, chemistry lab work, computer work, light assembly repair, watch repair, reading, desk work)",N,
50102,t50102,"Work, other job(s)",11580,1.5,Occupation,"sitting tasks, light effort (e.g., office work, chemistry lab work, computer work, light assembly repair, watch repair, reading, desk work)",N,
50103,t50103,Security procedures related to work,9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
50104,t50104,Waiting associated with working,7021,1.3,Inactivity ,"sitting quietly, general",N,
50199,t50199,"Working, n.e.c.*",11580,1.5,Occupation,"sitting tasks, light effort (e.g., office work, chemistry lab work, computer work, light assembly repair, watch repair, reading, desk work)",N,
50201,t50201,"Socializing, relaxing, and leisure as part of job",,,,,,
50202,t50202,Eating and drinking as part of job,11585,1.5,Occupation,"sitting meetings, light effort, general, and/or with talking involved (e.g., eating at a business meeting)",N,"Assumes sitting, but standing also possible "
50203,t50203,Sports and exercise as part of job,15255,4.8,Sports,"golf, general ",N,
50204,t50204,Security procedures as part of job,9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
50205,t50205,Waiting associated with work-related activities,7021,1.3,Inactivity ,"sitting quietly, general",N,
50299,t50299,"Work-related activities, n.e.c.*",11580,1.5,Occupation,"sitting tasks, light effort (e.g., office work, chemistry lab work, computer work, light assembly repair, watch repair, reading, desk work)",N,Assumes desk job 
50301,t50301,"Income-generating hobbies, crafts, and food",11115,2.5,Occupation,"cook, chef",N,
50302,t50302,Income-generating performances ,10125,3,Music Playing ,"guitar, rock and roll band, standing",N,Assumes standing in a band for a performance 
50303,t50303,Income-generating services ,11415,4,Occupation,"lawn keeper, yard work, general",N,"Likely to narrow, but best encompasses household work "
50304,t50304,Income-generating rental property activities,11476,4.5,Occupation,"manual or unskilled labor, general, moderate effort",N,Likely involves manual labor
50305,t50305,Waiting associated with other income-generating activities,7021,1.3,Inactivity ,"sitting quietly, general",N,
50399,t50399,"Other income-generating activities, n.e.c.*",11600,3,Occupation,"standing tasks, light effort (e.g., bartending, store clerk, assembling, filing, duplicating, librarian, putting up a Christmas tree, standing and talking at work, changing clothes when teaching physical education,standing)",N,"Possibly too broad, but seemed to best fit these examples"
50401,t50401,Job search activities,9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,Most planning done at a desk/computer
50403,t50403,Job interviewing ,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,
50404,t50404,Waiting associated with job search or interview,7021,1.3,Inactivity ,"sitting quietly, general",N,
50405,t50405,Security procedures rel. to job search/interviewing,9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
50499,t50499,"Job search and Interviewing, n.e.c.*",9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,
59999,t59999,"Work and work-related activities, n.e.c.*",11580,1.5,Occupation,"sitting tasks, light effort (e.g., office work, chemistry lab work, computer work, light assembly repair, watch repair, reading, desk work)",N,Assumes desk job 
60101,t60101,"Taking class for degree, certification, or licensure",9065,1.8,Miscellaneous,"sitting, in class, general, including note-taking or class discussion",N,
60102,t60102,Taking class for personal interest,9065,1.8,Miscellaneous,"sitting, in class, general, including note-taking or class discussion",N,
60103,t60103,Waiting associated with taking classes,7021,1.3,Inactivity ,"sitting quietly, general",N,
60104,t60104,Security procedures rel. to taking classes,9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
60199,t60199,"Taking class, n.e.c.* ",9065,1.8,Miscellaneous,"sitting, in class, general, including note-taking or class discussion",N,
60201,t60201,Extracurricular club activities,20000,1.3,Religious Activity,"sitting in church, in service, attending a ceremony, sitting quietly",N,"Wouldn't be sitting in church necessarily, but similar sitting and watching "
60202,t60202,Extracurricular music & performance activities,20000,1.3,Religious Activity,"sitting in church, in service, attending a ceremony, sitting quietly",N,"Wouldn't be sitting in church necessarily, but similar sitting and watching "
60203,t60203,Extracurricular student government activities,20000,1.3,Religious Activity,"sitting in church, in service, attending a ceremony, sitting quietly",N,"Wouldn't be sitting in church necessarily, but similar sitting and watching "
60204,t60204,Waiting associated with extracurricular activities,7021,1.3,Inactivity ,"sitting quietly, general",N,
60299,t60299,"Education-related extracurricular activities, n.e.c.*",9065,1.8,Miscellaneous,"sitting, in class, general, including note-taking or class discussion",N,Likely involves in class discussion to participate in this type of activity 
60301,t60301,"Research/homework for class for degree, certification, or licensure",9060,1.3,Miscellaneous,"sitting, studying, general, including reading and/or writing, light effort",N,
60302,t60302,Research/homework for class for pers. interest,9060,1.3,Miscellaneous,"sitting, studying, general, including reading and/or writing, light effort",N,
60303,t60303,Waiting associated with research/homework,7021,1.3,Inactivity ,"sitting quietly, general",N,
60399,t60399,Research/homework n.e.c.*,9060,1.3,Miscellaneous,"sitting, studying, general, including reading and/or writing, light effort",N,
60401,t60401,"Administrative activities: class for degree, certification, or licensure",9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,It seems that most of this would be done online 
60402,t60402,Administrative activities: class for personal interest,9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,It seems that most of this would be done online 
60403,t60403,Waiting associated w/admin. activities (education),7021,1.3,Inactivity ,"sitting quietly, general",N,
60499,t60499,"Administrative for education, n.e.c.*",9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,It seems that most of this would be done online 
69999,t69999,"Education, n.e.c.*",9060,1.3,Miscellaneous,"sitting, studying, general, including reading and/or writing, light effort",N,
70101,t70101,Grocery shopping,5060,2.3,Home Activity ,"food shopping with or without a grocery cart, standing or walking",N,
70102,t70102,Purchasing gas,5160,2,Home Activity ,"standing, light effort tasks (pump gas, change light bulb, etc.)",N,
70103,t70103,Purchasing food (not groceries),9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,"Likely standing to make these orders, definitely talking "
70104,t70104,"Shopping, except groceries, food and gas",5065,2.3,Home Activity ,"non-food shopping, with or without a cart, standing or walking",N,
70105,t70105,Waiting associated with shopping,7021,1.3,Inactivity ,"sitting quietly, general",N,
70199,t70199,"Shopping, n.e.c.*",5065,2.3,Home Activity ,"non-food shopping, with or without a cart, standing or walking",N,
70201,t70201,Comparison shopping,9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,Seems this would be done at a computer 
70299,t70299,"Researching purchases, n.e.c.*",9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,
70301,t70301,Security procedures rel. to consumer purchases,,,,,,
70399,t70399,"Security procedures rel. to consumer purchases, n.e.c.*",9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
79999,t79999,"Consumer purchases, n.e.c.*",5065,2.3,Home Activity ,"non-food shopping, with or without a cart, standing or walking",N,
80101,t80101,Using paid childcare services,9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,
80102,t80102,Waiting associated w/purchasing childcare svcs,7021,1.3,Inactivity ,"sitting quietly, general",N,
80199,t80199,"Using paid childcare services, n.e.c.*",9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,
80201,t80201,Banking,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
80202,t80202,Using other financial services,9055,1.5,Miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",N,"Longer tasks, so likely sitting"
80203,t80203,Waiting associated w/banking/financial services,7021,1.3,Inactivity ,"sitting quietly, general",N,
80299,t80299,"Using financial services and banking, n.e.c.*",9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
80301,t80301,Using legal services,9055,1.5,Miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",N,"Longer tasks, so likely sitting"
80302,t80302,Waiting associated with legal services,7021,1.3,Inactivity ,"sitting quietly, general",N,
80399,t80399,"Using legal services, n.e.c.*",9055,1.5,Miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",N,"Longer tasks, so likely sitting"
80401,t80401,Using health and care services outside the home,9055,1.5,Miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",N,Longer taks that often require being seated 
80402,t80402,Using in-home health and care services,9055,1.5,Miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",N,Longer taks that often require being seated 
80403,t80403,Waiting associated with medical services,7021,1.3,Inactivity ,"sitting quietly, general",N,
80499,t80499,"Using medical services, n.e.c.*",9055,1.5,Miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",N,Longer taks that often require being seated 
80501,t80501,Using personal care services,13046,1.3,Self Care,"having hair or nails done by someone else, sitting",N,
80502,t80502,Waiting associated w/personal care services,7021,1.3,Inactivity ,"sitting quietly, general",N,
80599,t80599,"Using personal care services, n.e.c.*",13046,1.3,Self Care,"having hair or nails done by someone else, sitting",N,
80601,t80601,Activities rel. to purchasing/selling real estate,17150,2,Walking,"walking, household",N,Likely walking around the houses being shown to you by real estate agent
80602,t80602,Waiting associated w/purchasing/selling real estate,7021,1.3,Inactivity ,"sitting quietly, general",N,
80699,t80699,"Using real estate services, n.e.c.*",17150,2,Walking,"walking, household",N,Likely walking around the houses being shown to you by real estate agent
80701,t80701,Using veterinary services,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
80702,t80702,Waiting associated with veterinary services,7021,1.3,Inactivity ,"sitting quietly, general",N,
80799,t80799,"Using veterinary services, n.e.c.*",9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
80801,t80801,Security procedures rel. to professional/personal svcs.,9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
80899,t80899,Security procedures rel. to professional/personal svcs n.e.c.*,9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
89999,t89999,"Professional and personal services, n.e.c.*",9055,1.5,Miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",N,Longer taks that often require being seated 
90101,t90101,Using interior cleaning services ,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
90102,t90102,Using meal preparation services,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
90103,t90103,Using clothing repair and cleaning services,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
90104,t90104,Waiting associated with using household services,7021,1.3,Inactivity ,"sitting quietly, general",N,
